user_id,local_date_str,datetime,type,generation_kwh,nominal_power_w
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T20:00:00,b11,0.12,20000
ES0184000000051513CQ0FA000,2023-05-25,2023-05-25T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-25T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-25T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T05:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T06:00:00,b11,0.33,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T07:00:00,b11,1.2,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T08:00:00,b11,2.19,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T09:00:00,b11,6.46,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T10:00:00,b11,11.84,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T11:00:00,b11,15.89,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T12:00:00,b11,16.88,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T13:00:00,b11,19.48,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T14:00:00,b11,18.25,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T15:00:00,b11,11.09,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T16:00:00,b11,13.21,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T17:00:00,b11,11.81,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T18:00:00,b11,5.04,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T19:00:00,b11,1.05,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T20:00:00,b11,0.1,20000
ES0184000000051513CQ0FA000,2023-05-26,2023-05-26T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-26T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-26T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T05:00:00,b11,0.01,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T06:00:00,b11,0.31,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T07:00:00,b11,0.87,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T08:00:00,b11,3.05,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T09:00:00,b11,6.23,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T10:00:00,b11,10.83,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T11:00:00,b11,13.24,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T12:00:00,b11,15.82,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T13:00:00,b11,10.83,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T14:00:00,b11,2.51,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T15:00:00,b11,1.4,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T16:00:00,b11,3.17,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T17:00:00,b11,2.77,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T18:00:00,b11,1.99,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T19:00:00,b11,1.41,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T20:00:00,b11,0.25,20000
ES0184000000051513CQ0FA000,2023-05-27,2023-05-27T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-27T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-27T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T05:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T06:00:00,b11,0.54,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T07:00:00,b11,1.02,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T08:00:00,b11,4.15,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T09:00:00,b11,7.37,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T10:00:00,b11,8.93,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T11:00:00,b11,12.33,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T12:00:00,b11,11.06,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T13:00:00,b11,16.86,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T14:00:00,b11,17.76,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T15:00:00,b11,17.04,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T16:00:00,b11,11.85,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T17:00:00,b11,12.04,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T18:00:00,b11,3.56,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T19:00:00,b11,0.66,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T20:00:00,b11,0.02,20000
ES0184000000051513CQ0FA000,2023-05-28,2023-05-28T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-28T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-28T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T05:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T06:00:00,b11,0.41,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T07:00:00,b11,1.15,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T08:00:00,b11,3.14,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T09:00:00,b11,7.33,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T10:00:00,b11,11.56,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T11:00:00,b11,13.75,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T12:00:00,b11,13.33,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T13:00:00,b11,8.95,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T14:00:00,b11,5.12,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T15:00:00,b11,9.63,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T16:00:00,b11,12.7,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T17:00:00,b11,11.21,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T18:00:00,b11,7.26,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T19:00:00,b11,3.26,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T20:00:00,b11,0.43,20000
ES0184000000051513CQ0FA000,2023-05-29,2023-05-29T21:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-29T22:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-29T23:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T00:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T01:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T02:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T03:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T04:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T05:00:00,b11,0.0,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T06:00:00,b11,0.37,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T07:00:00,b11,1.03,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T08:00:00,b11,3.3,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T09:00:00,b11,7.65,20000
ES0184000000051513CQ0FA000,2023-05-30,2023-05-30T10:00:00,b11,9.98,20000
